FAU,Bullet,Land,Quality,Problem,assess_percentile_na_proportion,assess_col_na,extract_na,assess_middle_na_proportion,assess_rotation,assess_bottomempty,assess_median_na_proportion,assess_percentile_na_proportion_cropped,assess_col_na_cropped,extract_na_cropped,assess_bottomempty_cropped,assess_median_na_proportion_cropped,filePath
102,B,2,Bad,Damage,0.045022718,1.367144432,19.21308795,0.078573995,2.707176457,34.48563416,0.045022718,0.213598775,0.882082695,13.58942007,23.87009788,0.10719755,/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
102,B,3,Bad,Damage,0.07334451,1.609340045,22.01682335,0.111784528,0.201855764,40.95211697,0.07334451,0.277812306,1.075201989,15.70550842,29.15951712,0.115910503,/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
102,B,4,Bad,Damage,0.074980268,1.902317009,22.49913393,0.132818551,1.183770097,44.7271986,0.074980268,0.310415448,1.609128145,17.3862162,35.13766632,0.123756583,/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
102,B,5,Bad,Damage,0.050413549,1.188912244,16.21972098,0.067019627,0.078592763,32.32818069,0.050413549,0.142189781,0.826277372,10.60263408,19.83370359,0.093430657,/media/Raven/LAPD/FAU 102/Bullet B/LAPD - 102 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
104,B,5,Bad,Damage,0.060467056,1.431951016,18.75551435,0.082801065,0.545687697,35.20721159,0.060467056,0.145499536,0.9093721,11.67710028,18.48801087,0.099597897,/media/Raven/LAPD/FAU 104/Bullet B/LAPD - 104 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
104,C,1,Bad,Damage,0.043704024,1.681581986,19.21422186,0.095724839,0.515049916,38.17636057,0.043704024,0.192492782,1.063522618,12.04774658,22.82765619,0.099133782,/media/Raven/LAPD/FAU 104/Bullet C/LAPD - 104 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
108,B,5,Bad,Damage,0.194686757,2.5892621,26.10405012,0.158082565,1.227015856,41.87695177,0.194686757,0.26984127,2.047325103,19.66902461,22.78007821,0.225455614,/media/Raven/LAPD/FAU 108/Bullet B/LAPD - 108 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
109,D,1,Bad,Damage,0.037367994,1.188669016,18.47724616,0.055250552,0.139889736,27.47554419,0.037367994,0.142590361,0.734939759,11.23962153,15.44591409,0.097289157,/media/Raven/LAPD/FAU 109/Bullet D/LAPD - 109 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
135,D,5,Bad,Damage,0.078014184,1.577287066,16.28354883,0.088278526,1.134902578,28.81992305,0.078014184,0.212971078,1.257668712,11.14738533,22.67906362,0.139935729,/media/Raven/LAPD/FAU 135/Bullet D/LAPD - 135 - Bullet D - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
145,D,2,Bad,Damage,0.014905743,0.977179637,15.27320431,0.045825164,0.719464489,22.16630146,0.014905743,0.156827048,0.685955787,10.10254707,18.32383954,0.093953186,/media/Raven/LAPD/FAU 145/Bullet D/LAPD - 145 - Bullet D - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
153,B,6,Bad,Damage,0.083972547,1.761853448,21.68960882,0.127275535,2.587364406,41.72078298,0.083972547,0.252694611,1.437125749,14.70349518,27.4052981,0.120658683,/media/Raven/LAPD/FAU 153/Bullet B/LAPD - 153 - Bullet B - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
154,A,6,Bad,Damage,0.077138289,1.896505735,24.83826903,0.134025446,0.224929008,49.83694577,0.077138289,0.254534677,1.397451097,15.41519548,32.64042808,0.093953764,/media/Raven/LAPD/FAU 154/Bullet A/LAPD - 154 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
156,C,4,Bad,Damage,0.0796216,1.674118885,19.56810816,0.113322088,0.222732283,39.07188839,0.0796216,0.216018708,1.154633148,11.78624989,25.73459324,0.073078047,/media/Raven/LAPD/FAU 156/Bullet C/LAPD - 156 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
157,C,2,Bad,Damage,0.067906225,1.582636829,19.80250939,0.098431829,0.619905242,31.94839005,0.067906225,0.189394847,1.333133613,14.94985281,18.75814078,0.142600359,/media/Raven/LAPD/FAU 157/Bullet C/LAPD - 157 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
165,C,2,Bad,Damage,0.113192182,2.741102961,26.36813225,0.149883951,0.126380597,24.98232051,0.113192182,0.291304348,2.518115942,21.27339976,16.23099795,0.181763285,/media/Raven/LAPD/FAU 165/Bullet C/LAPD - 165 - Bullet C - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
166,B,4,Bad,Damage,0.112076096,1.547060447,20.495752,0.106148295,0.345024327,28.38050804,0.112076096,0.174233129,1.447852761,15.83185516,16.60026007,0.155828221,/media/Raven/LAPD/FAU 166/Bullet B/LAPD - 166 - Bullet B - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
166,D,6,Bad,Damage,0.097046414,1.462968178,18.95405945,0.089078721,1.638835783,30.44562503,0.097046414,0.189921753,1.159624413,13.82333129,21.05905967,0.131455399,/media/Raven/LAPD/FAU 166/Bullet D/LAPD - 166 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
195,B,1,Bad,Damage,0.070358602,1.596002423,22.24973401,0.11855165,0.63850804,37.16740883,0.070358602,0.189498485,1.090541905,16.15665198,26.23018893,0.14843487,/media/Raven/LAPD/FAU 195/Bullet B/LAPD - 195 - Bullet B - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
198,C,1,Bad,Damage,0,0.819781392,12.09911309,0.010342728,0.030338873,19.03825972,0,0.056,0.287407407,4.555942029,7.385668277,0.04237037,/media/Raven/LAPD/FAU 198/Bullet C/LAPD - 198 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
201,D,6,Bad,Damage,0.059265442,1.441102757,21.11189236,0.105439868,0.616629327,35.0772391,0.059265442,0.217270195,1.036830703,15.95585564,25.6348149,0.133704735,/media/Raven/LAPD/FAU 201/Bullet D/LAPD - 201 - Bullet D - Land 6 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
203,B,2,Bad,Damage,0.098839536,1.831286706,26.84951925,0.150114078,1.594325253,46.67552851,0.098839536,0.211925245,1.429842777,17.81299576,25.18347026,0.170275883,/media/Raven/LAPD/FAU 203/Bullet B/LAPD - 203 - Bullet B - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
203,C,2,Bad,Damage,0.06304438,0.980907582,14.89858869,0.073626171,3.237342996,25.33146053,0.06304438,0.121156212,0.747232472,10.32979705,16.37554147,0.095633456,/media/Raven/LAPD/FAU 203/Bullet C/LAPD - 203 - Bullet C - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
203,C,3,Bad,Damage,0.06319245,1.39101862,20.50419754,0.110934461,1.762529831,33.44677029,0.06319245,0.164029215,1.04686549,13.97886951,16.71220461,0.139379184,/media/Raven/LAPD/FAU 203/Bullet C/LAPD - 203 - Bullet C - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
204,A,1,Bad,Damage,0.029133858,1.666666667,18.98427063,0.116137446,0.018873477,47.95071896,0.029133858,0.188032691,0.915061296,11.42487753,25.51349654,0.078809107,/media/Raven/LAPD/FAU 204/Bullet A/LAPD - 204 - Bullet A - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
204,B,3,Bad,Damage,0.054945055,1.483870968,18.31093071,0.088421942,1.000702579,32.18353242,0.054945055,0.171065494,0.949820789,12.67524473,19.78020032,0.116324536,/media/Raven/LAPD/FAU 204/Bullet B/LAPD - 204 - Bullet B - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
204,C,3,Bad,Damage,0.065595135,1.894752102,26.14451552,0.134886029,0.21854764,47.53244243,0.065595135,0.159600515,1.119523196,15.17263839,22.91065526,0.131443299,/media/Raven/LAPD/FAU 204/Bullet C/LAPD - 204 - Bullet C - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
205,A,3,Bad,Damage,0.04123282,1.891666667,24.69523189,0.130067319,1.278905447,44.38280656,0.04123282,0.290864198,1.567901235,18.1113795,32.56743156,0.12962963,/media/Raven/LAPD/FAU 205/Bullet A/LAPD - 205 - Bullet A - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
208,B,1,Bad,Damage,0.116709733,2.041080149,25.04089369,0.138857203,4.316577709,40.56513462,0.116709733,0.216219668,1.288314176,16.57174885,25.36596285,0.135376756,/media/Raven/LAPD/FAU 208/Bullet B/LAPD - 208 - Bullet B - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p
211,A,2,Bad,Damage,0.092497869,1.744384419,23.05659065,0.147821692,2.372281942,42.22654327,0.092497869,0.174218009,1.066350711,15.37117934,20.46620647,0.153870458,/media/Raven/LAPD/FAU 211/Bullet A/LAPD - 211 - Bullet A - Land 2 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
211,A,4,Bad,Damage,0.091732283,2.013396375,26.56304523,0.157428138,0.242361817,48.74593054,0.091732283,0.208990076,1.539696439,15.82667073,25.21732785,0.15323993,/media/Raven/LAPD/FAU 211/Bullet A/LAPD - 211 - Bullet A - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
211,B,3,Bad,Damage,0.064840918,1.867275658,23.92986564,0.130907145,0.669966703,43.16255411,0.064840918,0.167214094,1.266049567,13.94089086,20.1656562,0.140041804,/media/Raven/LAPD/FAU 211/Bullet B/LAPD - 211 - Bullet B - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
211,C,5,Bad,Damage,0.034440843,1.328737497,18.58733319,0.08151563,0.501126227,43.32906016,0.034440843,0.121598078,0.618804446,10.22914572,20.51520237,0.085911685,/media/Raven/LAPD/FAU 211/Bullet C/LAPD - 211 - Bullet C - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
215,B,5,Bad,Damage,0.001207729,1.030083266,17.19490137,0.06053119,0.226051558,40.53164538,0.001207729,0.090746269,0.626865672,7.584977287,13.02271252,0.065074627,/media/Raven/LAPD/FAU 215/Bullet B/LAPD - 215 - Bullet B - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
215,D,1,Bad,Damage,0.080079681,2.072587078,28.73897694,0.121692566,0.195069096,46.49197155,0.080079681,0.232565012,1.425827423,17.59880255,25.9610443,0.172576832,/media/Raven/LAPD/FAU 215/Bullet D/LAPD - 215 - Bullet D - Land 1 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
227,C,6,Bad,Damage,0.00748621,1.003942181,15.18933132,0.021085756,0.165675339,23.68160431,0.00748621,0.04713785,0.262850467,4.853051351,9.45658523,0.037091121,/media/Raven/LAPD/FAU 227/Bullet C/LAPD - 227 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
227,D,2,Bad,Damage,0.033717456,1.400911162,18.67951133,0.079183706,1.27900419,35.18936332,0.033717456,0.128164557,0.643987342,9.954801871,16.35697578,0.084810127,/media/Raven/LAPD/FAU 227/Bullet D/LAPD - 227 - Bullet D - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
227,D,3,Bad,Damage,0.025505717,1.128558849,17.4018129,0.059951071,0.252625904,34.16819664,0.025505717,0.110567515,0.629484671,8.587594657,14.13663887,0.081865623,/media/Raven/LAPD/FAU 227/Bullet D/LAPD - 227 - Bullet D - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
228,D,4,Bad,Damage,0.182619143,3.844200962,48.45372368,0.38516689,2.161506495,94.48245849,0.182619143,0.530977131,2.626967627,40.80470762,77.3104828,0.296703297,/media/Raven/LAPD/FAU 228/Bullet D/LAPD - 228 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
236,C,3,Bad,Damage,0.130469372,1.903687981,28.09631591,0.188078716,1.660101087,40.91242365,0.130469372,0.292570755,1.630306604,23.86193217,32.85976595,0.234080189,/media/Raven/LAPD/FAU 236/Bullet C/LAPD - 236 - Bullet C - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p
252,D,6,Bad,Damage,0.074376788,2.393675027,24.46686942,0.161631548,0.242166926,51.12123984,0.074376788,0.211026962,1.446531354,18.03452182,34.28061984,0.138442896,/media/Raven/LAPD/FAU 252/Bullet D/LAPD - 252 - Bullet D - Land 6 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
254,D,1,Bad,Damage,0.014565127,1.160466408,18.56859147,0.065688571,3.48635519,33.58091491,0.014565127,0.127861771,0.692687442,10.96447688,18.89580511,0.09194693,/media/Raven/LAPD/FAU 254/Bullet D/LAPD - 254 - Bullet D - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
258,C,6,Bad,Damage,0.070175439,1.176470588,20.38059126,0.101591334,0.190502677,35.9623829,0.070175439,0.18952912,0.616480793,13.3394281,19.60360433,0.106567534,/media/Raven/LAPD/FAU 258/Bullet C/LAPD - 258 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
269,B,5,Bad,Damage,0.052831784,1.48153369,21.68255304,0.112312015,1.974897686,30.6282263,0.052831784,0.240601504,1.33302005,19.05337392,24.24318268,0.16697995,/media/Raven/LAPD/FAU 269/Bullet B/LAPD - 269 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p
269,C,4,Bad,Damage,0.070104754,1.615157216,19.70651894,0.086028858,1.290559463,34.77593947,0.070104754,0.161648746,0.960274791,13.73620202,22.3470534,0.129330944,/media/Raven/LAPD/FAU 269/Bullet C/LAPD - 269 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Anyesha Ray.x3p
272,B,2,Bad,Damage,0.061078349,1.914863726,26.31962749,0.148117987,0.243870502,57.44361836,0.061078349,0.186200437,1.006868561,15.47190813,28.44344297,0.122697471,/media/Raven/LAPD/FAU 272/Bullet B/LAPD - 272 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
273,A,2,Bad,Damage,0.019306541,2.737312648,30.45226681,0.191935518,0.036729766,71.73543858,0.019306541,0.326767972,1.630625365,22.33730592,51.88660966,0.151081239,/media/Raven/LAPD/FAU 273/Bullet A/LAPD - 273 - Bullet A - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
273,B,5,Bad,Damage,0.0208,1.595943421,21.15410152,0.11637946,0.125166659,48.18791495,0.0208,0.214116251,1.113582444,12.73270282,26.79467095,0.064946619,/media/Raven/LAPD/FAU 273/Bullet B/LAPD - 273 - Bullet B - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
136,C,4,Problematic,Damage,0.00555115,1.135220958,13.12449284,0.031076841,0.344905229,19.47157686,0.00555115,0.091855337,0.688032931,7.625666364,10.28230188,0.072331667,/media/Raven/LAPD/FAU 136/Bullet C/LAPD - 136 - Bullet C - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
186,B,3,Problematic,Damage,0.004108463,0.839956152,11.79090831,0.020568559,0.358945092,18.46540262,0.004108463,0.087697929,0.569427527,7.664036435,9.315753588,0.077344702,/media/Raven/LAPD/FAU 186/Bullet B/LAPD - 186 - Bullet B - Land 3 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Carley McConnell.x3p
216,C,4,Problematic,Damage,0.031643002,1.427218615,21.57869013,0.090537677,0.982953958,45.61415898,0.031643002,0.150751654,0.769693325,11.50938587,18.44247562,0.097414311,/media/Raven/LAPD/FAU 216/Bullet C/LAPD - 216 - Bullet C - Land 4 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
35,D,5,Tiny Problems,Damage,0,0.2573318,3.666644744,0.000876059,0.473287704,9.007322666,0,0.02428115,0.126198083,1.389463814,3.564557577,0.006070288,/media/Raven/LAPD/FAU 35/Bullet D/LAPD - 35 - Bullet D - Land 5 - Sneox1 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Mya Fisher.x3p
199,D,4,Yikes,Damage,0.016574586,1.047644117,15.29872166,0.056486916,0.380274859,24.26115634,0.016574586,0.145949108,0.981281076,14.29800857,18.97564124,0.133957297,/media/Raven/LAPD/FAU 199/Bullet D/LAPD - 199 - Bullet D - Land 4 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,A,5,Bad,Feathering,0.025557809,1.346049784,19.49231528,0.089817401,1.428142463,42.87864506,0.025557809,0.158989778,0.696031269,10.30200136,23.86876127,0.073662057,/media/Raven/LAPD/FAU 17/Bullet A/LAPD - 17 - Bullet A - Land 5 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,A,6,Bad,Feathering,0.07778221,1.701703034,23.08953672,0.109422662,0.179468488,41.65749757,0.07778221,0.195860438,1.095505618,12.50237832,24.63778829,0.09373152,/media/Raven/LAPD/FAU 17/Bullet A/LAPD - 17 - Bullet A - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,B,2,Bad,Feathering,0.028418451,1.049738939,14.29482442,0.054078307,0.275865855,27.79637988,0.028418451,0.116580153,0.78778626,9.683471623,14.78094922,0.093129771,/media/Raven/LAPD/FAU 17/Bullet B/LAPD - 17 - Bullet B - Land 2 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,B,3,Bad,Feathering,0.039398863,1.432637571,20.69511562,0.083350284,0.818883631,41.44219413,0.039398863,0.138373494,0.843373494,9.842325825,20.73091278,0.071084337,/media/Raven/LAPD/FAU 17/Bullet B/LAPD - 17 - Bullet B - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,C,1,Bad,Feathering,0.017152659,1.158798283,15.89812006,0.062273502,0.475761477,28.2639492,0.017152659,0.13036566,0.836248013,10.9179512,14.48417087,0.114149444,/media/Raven/LAPD/FAU 17/Bullet C/LAPD - 17 - Bullet C - Land 1 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
17,C,6,Bad,Feathering,0.053366174,1.328403177,19.71374358,0.076249902,0.568773075,32.14092846,0.053366174,0.124018265,0.800608828,9.653034213,14.84183707,0.098934551,/media/Raven/LAPD/FAU 17/Bullet C/LAPD - 17 - Bullet C - Land 6 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
40,C,3,Bad,Feathering,0.08106961,1.809685641,21.81568473,0.114345156,0.210186129,36.83877446,0.08106961,0.177525968,1.386528171,15.93084124,21.54052223,0.157381177,/media/Raven/LAPD/FAU 40/Bullet C/LAPD - 40 - Bullet C - Land 3 - Sneox2 - 20x - auto light left image + 20% - threshold 2 - resolution 4 - Connor Hergenreter.x3p
